16:30:41.242 [main] INFO  com.example.HdfsClient - 權限: rw-r--r--
16:30:41.243 [main] INFO  com.example.HdfsClient - 所有者: root
16:30:41.243 [main] INFO  com.example.HdfsClient - 分組: supergroup
16:30:41.243 [main] INFO  com.example.HdfsClient - ----------------------------------
16:30:41.243 [main] INFO  com.example.HdfsClient - ======== te22.txt ========
16:30:41.243 [main] INFO  com.example.HdfsClient - 類型: 文件
16:30:41.243 [main] INFO  com.example.HdfsClient - 大小: 5 bytes
16:30:41.243 [main] INFO  com.example.HdfsClient - 權限: rw-r--r--
16:30:41.243 [main] INFO  com.example.HdfsClient - 所有者: root
16:30:41.243 [main] INFO  com.example.HdfsClient - 分組: supergroup
16:30:41.243 [main] INFO  com.example.HdfsClient - ----------------------------------
